policy,retry_model,mean,sd,n,ci95,retry_order
mixed_robust,bounded_1,22.53221353404632,0.9952081951904319,5,1.2355160834321721,0
mixed_robust,bounded_10,49.71493574092806,1.7043997257173986,5,2.1159525051120425,2
mixed_robust,bounded_3,39.83700360980963,1.5500084095277025,5,1.9242810988510326,1
mixed_robust,unbounded,50.37281930771394,2.702601558403524,5,3.355185084541504,3
rc,bounded_1,0.0,0.0,5,0.0,0
rc,bounded_10,0.0,0.0,5,0.0,2
rc,bounded_3,0.0,0.0,5,0.0,1
rc,unbounded,0.0,0.0,5,0.0,3
si,bounded_1,30.65221194246012,1.3969258976296013,5,1.7342345272328097,0
si,bounded_10,75.74972555836129,3.5298369015855755,5,4.382168761147369,2
si,bounded_3,57.306184566792844,2.148941822196685,5,2.667835932737675,1
si,unbounded,77.94371507604703,3.5328608921448788,5,4.385922939408985,3
ssi,bounded_1,24.056349836228502,1.009739070679286,5,1.2535556559151884,0
ssi,bounded_10,53.53155161930853,2.215883133328919,5,2.750941223620138,2
ssi,bounded_3,43.65207236768594,1.5116324988852212,5,1.8766387512053033,1
ssi,unbounded,55.03727323544179,1.3907888878146908,5,1.7266156447043632,3
