policy,retry_model,retry_label,n,attempts_per_request_mean,attempts_per_request_sd,attempts_per_request_ci95,aborts_per_request_mean,aborts_per_request_sd,aborts_per_request_ci95,extra_attempts_per_100_requests_mean,extra_attempts_per_100_requests_sd,extra_attempts_per_100_requests_ci95,latency_mean_ms_mean,latency_mean_ms_sd,latency_mean_ms_ci95,latency_p50_ms_mean,latency_p50_ms_sd,latency_p50_ms_ci95,latency_p95_ms_mean,latency_p95_ms_sd,latency_p95_ms_ci95,error_rate_pct_mean,error_rate_pct_sd,error_rate_pct_ci95,abort_rate_pct_mean,abort_rate_pct_sd,abort_rate_pct_ci95
rc,bounded_1,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.366583,2.491322533997756,3.0928895829502663,2.106733,0.05309062780284299,0.06591015311863702,48.1671968,16.925519553273844,21.01243913542544,0.0,0.0,0.0,0.0,0.0,0.0
rc,bounded_3,3,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.426754399999998,2.452636089067496,3.044861717873248,2.0423,0.11256235011539165,0.1397422113569696,45.16399,15.303142850384033,18.998315337517536,0.0,0.0,0.0,0.0,0.0,0.0
rc,bounded_10,10,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.178897599999999,2.6568013385247307,3.2983257172669496,2.0632462000000005,0.08425413073375095,0.104598549449472,45.5496222,16.95728262201638,21.051871871691294,0.0,0.0,0.0,0.0,0.0,0.0
rc,unbounded,∞,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.281379399999999,2.5951319533277686,3.2217653376052438,2.0212125999999997,0.023980959911980158,0.02977152098483695,36.5353306,18.710333284303125,23.228222808906246,0.0,0.0,0.0,0.0,0.0,0.0
si,bounded_1,1,5,1.306522119424601,0.013969258976296011,0.017342345272328096,0.47197023686810197,0.025016902049522217,0.03105760682961178,30.652211942460116,1.3969258976296017,1.7342345272328104,12.056192399999999,3.032452274056477,3.7646831838239905,2.7718833999999997,0.6464134796372983,0.8024996724292603,68.98427720000001,26.86218871144916,33.348465526688074,16.544811799999998,1.1066329933346017,1.3738460638981818,36.1112164,1.5151383844482005,1.8809911852192782
si,bounded_3,3,5,1.5730618456679286,0.02148941822196684,0.026678359327376732,0.6465681105903722,0.025913732054370177,0.03217098983876413,57.306184566792844,2.1489418221966856,2.6678359327376753,13.233533,3.3766077746219647,4.191940172065477,2.7945498,0.14015276969507237,0.17399474997559972,77.08225380000002,28.606751320395798,35.51427884326302,7.3506264,0.44293290168974814,0.549885668711007,41.09086679999999,1.0666996151310348,1.3242701748784518
si,bounded_10,10,5,1.7574972555836126,0.035298369015855695,0.04382168761147361,0.769019694241,0.03686942865931607,0.045772103079219126,75.74972555836129,3.5298369015855684,4.38216876114736,14.8316816,3.7105574943761215,4.606527041233066,2.5611664000000003,0.15209058166533515,0.18881512501021896,75.0258966,37.23186680316419,46.22205732812677,1.1522437999999997,0.16036239818361409,0.19908429521693935,43.7372766,1.1979042833324787,1.4871561705602365
si,unbounded,∞,5,1.77943715076047,0.03532860892144878,0.043859229394089844,0.7794371507604702,0.035328608921448804,0.04385922939408987,77.94371507604703,3.5328608921448756,4.385922939408982,15.387325399999998,3.8137626016577513,4.734652563666487,2.3783497999999996,0.08676603678110474,0.10771699274261862,83.7243636,32.521339942425996,40.374103376373334,0.0,0.0,0.0,43.785183800000006,1.087371284678419,1.3499333278956964
ssi,bounded_1,1,5,1.240563498362285,0.010097390706792879,0.012535556559151907,0.3427830461037154,0.01639581225137918,0.020354826091074363,24.056349836228502,1.009739070679287,1.2535556559151897,12.886186,2.093121893797516,2.598537448614954,2.3025876,0.14909090829021057,0.18509113568022706,66.2805426,14.534230626557889,18.04373776884808,10.2219548,0.6324429048326815,0.7851556936022034,27.624034799999997,1.1077605292414066,1.3752458601963202
ssi,bounded_3,3,5,1.4365207236768593,0.01511632498885218,0.018766387512052993,0.4745787554698966,0.017133414290008347,0.021270533162522174,43.65207236768593,1.5116324988852177,1.876638751205299,12.690822,3.7647440808582857,4.673797788628983,2.3973,0.19224612718725953,0.23866682696674973,68.5173464,27.174539881270505,33.73623855333531,3.8058032000000006,0.21240446382832906,0.26369269517768806,33.0296012,0.8422969983038637,1.045682193394653
