policy,policy_label,retry_model,retry_label,n,mean_failure_rate_pct,sd_failure_rate_pct,total_errors,total_committed,mean_committed_tps,sd_committed_tps,mean_abort_rate_pct,sd_abort_rate_pct,ci95_failure_rate_pct,ci95_committed_tps
rc,RC,bounded_1,1 retry,5,0.0,0.0,0,2520553,8401.8433334,3245.8015727406746,0.0,0.0,0.0,4029.548858350376
rc,RC,bounded_3,3 retries,5,0.0,0.0,0,2810606,9368.6866666,2918.325867967775,0.0,0.0,0.0,3622.999251810226
rc,RC,bounded_10,10 retries,5,0.0,0.0,0,2596349,8654.496667,3231.707678341282,0.0,0.0,0.0,4012.051782569853
rc,RC,unbounded,Retry forever,5,0.0,0.0,0,2911504,9705.0133334,3281.879166038977,0.0,0.0,0.0,4074.3379255897676
si,SI,bounded_1,1 retry,5,16.5448118,1.1066329933346015,288600,1424135,4747.1166668000005,1603.876039334699,36.1112164,1.5151383844482018,1.3738460638981813,1991.1558727169968
si,SI,bounded_3,3 retries,5,7.3506264,0.4429329016897481,117275,1450662,4835.54,1757.9363260050018,41.0908668,1.066699615131034,0.5498856687110069,2182.416317435208
si,SI,bounded_10,10 retries,5,1.1522438,0.16036239818361406,16648,1374398,4581.3266668,1592.5242744768123,43.7372766,1.1979042833324764,0.19908429521693932,1977.06305462623
si,SI,unbounded,Retry forever,5,0.0,0.0,0,1344894,4482.9800000000005,1639.3087266443345,43.7851838,1.0873712846784194,0.0,2035.1443117811475
ssi,SSI,bounded_1,1 retry,5,10.2219548,0.6324429048326821,155284,1367560,4558.533333400001,768.4533598684257,27.624034799999997,1.1077605292414066,0.7851556936022042,954.0079051532099
ssi,SSI,bounded_3,3 retries,5,3.8058031999999997,0.2124044638283289,63283,1580790,5269.2999998,1775.6546341470703,33.0296012,0.842296998303865,0.2636926951776878,2204.4129758093322
ssi,SSI,bounded_10,10 retries,5,0.2655646,0.01968089100625274,4129,1530860,5102.8666668,1729.2766076695025,35.0288854,0.9435339160646529,0.024433136194028225,2146.836281899659
ssi,SSI,unbounded,Retry forever,5,0.0,0.0,0,1545136,5150.4533332,1618.2895537023576,35.4952216,0.5796783809961353,0.0,2009.0497454826
mixed_robust,Mixed-robust,bounded_1,1 retry,5,11.2243094,0.7406843683123732,221515,1719318,5731.059999800001,2122.355368078075,27.5413346,1.196326300825489,0.9195336756864501,2634.829782041047
mixed_robust,Mixed-robust,bounded_3,3 retries,5,3.990811,0.2635101476366709,76152,1805643,6018.8100002,1997.838317104693,31.333672,0.947825471215033,0.3271386099170892,2480.24622868745
mixed_robust,Mixed-robust,bounded_10,10 retries,5,0.3116772,0.022500252169698018,4702,1502727,5009.089999999999,1952.1122727180455,33.4077066,0.7546051256447286,0.02793327423476667,2423.478947685884
mixed_robust,Mixed-robust,unbounded,Retry forever,5,0.0,0.0,0,1698214,5660.713333199999,2134.5230973065204,33.481563799999996,1.1864464066902487,0.0,2649.9355912910555
