mpl,policy,mean,sd,n,ci95
1,mixed_robust,0.0,0.0,5,0.0
1,rc,0.0,0.0,5,0.0
1,si,0.0,0.0,5,0.0
1,ssi,0.0,0.0,5,0.0
8,mixed_robust,10.327968799999999,0.03336623327857,5,0.041423008832171794
8,rc,0.0,0.0,5,0.0
8,si,11.840257,0.050156633394796195,5,0.062267701923640346
8,ssi,12.024384399999999,0.037403198557075,5,0.04643475969390558
32,mixed_robust,31.300582,0.6923128381638612,5,0.8594821168593294
32,rc,0.0,0.0,5,0.0
32,si,32.7196568,0.7948266708507564,5,0.9867494461187091
32,ssi,32.1634124,1.528150604025271,5,1.8971453996302092
64,mixed_robust,33.481563799999996,1.1864464066902487,5,1.472931618409369
64,rc,0.0,0.0,5,0.0
64,si,43.7851838,1.0873712846784194,5,1.349933327895697
64,ssi,35.4952216,0.5796783809961353,5,0.7196503871248802
