retry_model,policy,mean,sd,n,ci95,retry_order
bounded_1,mixed_robust,27.5413346,1.196326300825489,5,1.4851971606001273,0
bounded_1,rc,0.0,0.0,5,0.0,0
bounded_1,si,36.1112164,1.5151383844482018,5,1.8809911852192802,0
bounded_1,ssi,27.624034799999997,1.1077605292414066,5,1.3752458601963202,0
bounded_10,mixed_robust,33.4077066,0.7546051256447286,5,0.9368158078682396,2
bounded_10,rc,0.0,0.0,5,0.0,2
bounded_10,si,43.7372766,1.1979042833324764,5,1.4871561705602336,2
bounded_10,ssi,35.0288854,0.9435339160646529,5,1.1713642775404947,2
bounded_3,mixed_robust,31.333672,0.947825471215033,5,1.1766920928025226,1
bounded_3,rc,0.0,0.0,5,0.0,1
bounded_3,si,41.0908668,1.066699615131034,5,1.3242701748784504,1
bounded_3,ssi,33.0296012,0.842296998303865,5,1.0456821933946545,1
unbounded,mixed_robust,33.481563799999996,1.1864464066902487,5,1.472931618409369,3
unbounded,rc,0.0,0.0,5,0.0,3
unbounded,si,43.7851838,1.0873712846784194,5,1.349933327895697,3
unbounded,ssi,35.4952216,0.5796783809961353,5,0.7196503871248802,3
