policy,retry_model,hotspot_probability,mpl,n,committed_tps_mean,committed_tps_ci95,observed_tps_mean,observed_tps_ci95,attempted_tps_mean,attempted_tps_ci95,error_rate_pct_mean,error_rate_pct_ci95,abort_rate_pct_mean,abort_rate_pct_ci95,latency_mean_ms_mean,latency_mean_ms_ci95
mixed_robust,bounded_1,0.100000,1,5,2947.516667,371.913836,2947.516667,371.913836,2947.516667,371.913836,0.000000,0.000000,0.000000,0.000000,0.339508,0.048426
mixed_robust,bounded_1,0.100000,8,5,9332.830000,3338.623222,9333.083333,3338.717793,9345.996667,3342.985930,0.002691,0.000557,0.142089,0.007307,0.967777,0.325447
mixed_robust,bounded_1,0.100000,32,5,9162.176667,3328.152195,9166.760000,3329.634754,9216.093333,3347.197774,0.050705,0.002363,0.587012,0.010246,3.950978,1.249034
mixed_robust,bounded_1,0.100000,64,5,8484.780000,2721.814970,8494.046667,2724.674702,8564.770000,2747.554083,0.109480,0.005331,0.933516,0.017682,8.285561,2.287169
mixed_robust,bounded_1,0.500000,1,5,3405.430000,31.182349,3405.430000,31.182349,3405.430000,31.182349,0.000000,0.000000,0.000000,0.000000,0.288152,0.002581
mixed_robust,bounded_1,0.500000,8,5,8786.630000,3013.801383,8816.370000,3024.227779,9085.830000,3117.777037,0.336109,0.006795,3.287420,0.017646,1.015663,0.333821
mixed_robust,bounded_1,0.500000,32,5,8255.833333,2578.781512,8513.700000,2668.552842,9291.740000,2940.403642,2.987177,0.151724,11.007161,0.481636,4.168012,1.320011
mixed_robust,bounded_1,0.500000,64,5,6634.220000,2375.066225,6916.456667,2500.297235,7642.633333,2803.221238,3.984090,0.349679,12.971215,0.783613,10.158033,2.440713
mixed_robust,bounded_1,0.900000,1,5,3406.976667,78.219127,3406.976667,78.219127,3406.976667,78.219127,0.000000,0.000000,0.000000,0.000000,0.288037,0.006442
mixed_robust,bounded_1,0.900000,8,5,8020.786667,2494.371080,8165.046667,2539.604132,8896.566667,2767.518796,1.765270,0.009731,9.842098,0.023117,1.076707,0.331891
mixed_robust,bounded_1,0.900000,32,5,5876.143333,2112.612584,6464.586667,2369.980845,7771.830000,2916.950363,8.810382,1.228364,23.834317,2.151340,5.555378,1.681541
mixed_robust,bounded_1,0.900000,64,5,5731.060000,1860.326503,6469.443333,2139.172426,7943.933333,2674.533177,11.224309,0.649238,27.541335,1.048626,10.999441,3.264118
mixed_robust,bounded_10,0.100000,1,5,3600.776667,13.219763,3600.776667,13.219763,3600.776667,13.219763,0.000000,0.000000,0.000000,0.000000,0.272458,0.001018
mixed_robust,bounded_10,0.100000,8,5,7366.866667,2175.588992,7366.866667,2175.588992,7377.483333,2178.578856,0.000000,0.000000,0.144592,0.004822,1.162729,0.285339
mixed_robust,bounded_10,0.100000,32,5,7918.646667,2918.907200,7918.733333,2918.870231,7967.030000,2935.303692,0.001341,0.001399,0.612261,0.019664,4.433316,1.053404
mixed_robust,bounded_10,0.100000,64,5,7884.283333,2837.742732,7884.350000,2837.734587,7960.156667,2866.517777,0.000938,0.000723,0.946613,0.035497,9.031306,2.553047
