policy,retry_model,hotspot_probability,mpl,n,committed_tps_mean,committed_tps_ci95,observed_tps_mean,observed_tps_ci95,attempted_tps_mean,attempted_tps_ci95,error_rate_pct_mean,error_rate_pct_ci95,abort_rate_pct_mean,abort_rate_pct_ci95,latency_mean_ms_mean,latency_mean_ms_ci95
mixed_robust,bounded_1,0.100000,1,1,3524.000000,0.000000,3524.000000,0.000000,3524.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278478,0.000000
mixed_robust,bounded_1,0.100000,32,1,13631.333333,0.000000,13638.333333,0.000000,13719.666667,0.000000,0.051326,0.000000,0.643845,0.000000,2.343111,0.000000
mixed_robust,bounded_1,0.900000,1,1,3446.000000,0.000000,3446.000000,0.000000,3446.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284898,0.000000
mixed_robust,bounded_1,0.900000,32,1,9690.666667,0.000000,10729.666667,0.000000,13025.000000,0.000000,9.683432,0.000000,25.599488,0.000000,2.995303,0.000000
mixed_robust,unbounded,0.100000,1,1,3323.333333,0.000000,3323.333333,0.000000,3323.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.294955,0.000000
mixed_robust,unbounded,0.100000,32,1,12924.333333,0.000000,12924.333333,0.000000,13043.666667,0.000000,0.000000,0.000000,0.914876,0.000000,2.486645,0.000000
mixed_robust,unbounded,0.900000,1,1,3442.666667,0.000000,3442.666667,0.000000,3442.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.285035,0.000000
mixed_robust,unbounded,0.900000,32,1,7656.333333,0.000000,7656.333333,0.000000,9739.333333,0.000000,0.000000,0.000000,21.387501,0.000000,4.202937,0.000000
rc,bounded_1,0.100000,1,1,3498.666667,0.000000,3498.666667,0.000000,3498.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.280154,0.000000
rc,bounded_1,0.100000,32,1,13819.000000,0.000000,13819.000000,0.000000,13819.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.317199,0.000000
rc,bounded_1,0.900000,1,1,3542.666667,0.000000,3542.666667,0.000000,3542.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.277109,0.000000
rc,bounded_1,0.900000,32,1,12751.666667,0.000000,12751.666667,0.000000,12751.666667,0.000000,0.000000,0.000000,0.000000,0.000000,2.512251,0.000000
rc,unbounded,0.100000,1,1,3412.666667,0.000000,3412.666667,0.000000,3412.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.287627,0.000000
rc,unbounded,0.100000,32,1,11730.000000,0.000000,11730.000000,0.000000,11730.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.726768,0.000000
rc,unbounded,0.900000,1,1,3553.666667,0.000000,3553.666667,0.000000,3553.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.276196,0.000000
rc,unbounded,0.900000,32,1,13823.333333,0.000000,13823.333333,0.000000,13823.333333,0.000000,0.000000,0.000000,0.000000,0.000000,2.317571,0.000000
si,bounded_1,0.100000,1,1,3438.666667,0.000000,3438.666667,0.000000,3438.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.285353,0.000000
si,bounded_1,0.100000,32,1,14091.000000,0.000000,14101.666667,0.000000,14201.000000,0.000000,0.075641,0.000000,0.774593,0.000000,2.273583,0.000000
si,bounded_1,0.900000,1,1,3558.000000,0.000000,3558.000000,0.000000,3558.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.275880,0.000000
si,bounded_1,0.900000,32,1,9739.666667,0.000000,11061.000000,0.000000,13997.000000,0.000000,11.945876,0.000000,30.416042,0.000000,2.901850,0.000000
si,unbounded,0.100000,1,1,3516.333333,0.000000,3516.333333,0.000000,3516.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.279078,0.000000
si,unbounded,0.100000,32,1,13097.333333,0.000000,13097.333333,0.000000,13190.666667,0.000000,0.000000,0.000000,0.707571,0.000000,2.446140,0.000000
si,unbounded,0.900000,1,1,3348.666667,0.000000,3348.666667,0.000000,3348.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.292906,0.000000
si,unbounded,0.900000,32,1,8825.000000,0.000000,8825.000000,0.000000,13776.333333,0.000000,0.000000,0.000000,35.940865,0.000000,3.634831,0.000000
ssi,bounded_1,0.100000,1,1,3383.666667,0.000000,3383.666667,0.000000,3383.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.290174,0.000000
ssi,bounded_1,0.100000,32,1,13017.666667,0.000000,13026.000000,0.000000,13132.000000,0.000000,0.063975,0.000000,0.870647,0.000000,2.458894,0.000000
ssi,bounded_1,0.900000,1,1,3554.333333,0.000000,3554.333333,0.000000,3554.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.276080,0.000000
ssi,bounded_1,0.900000,32,1,9697.000000,0.000000,10870.000000,0.000000,13569.000000,0.000000,10.791168,0.000000,28.535633,0.000000,2.939067,0.000000
ssi,unbounded,0.100000,1,1,3576.000000,0.000000,3576.000000,0.000000,3576.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.274257,0.000000
ssi,unbounded,0.100000,32,1,13555.666667,0.000000,13555.666667,0.000000,13748.000000,0.000000,0.000000,0.000000,1.398991,0.000000,2.362138,0.000000
ssi,unbounded,0.900000,1,1,3654.666667,0.000000,3654.666667,0.000000,3654.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.268460,0.000000
ssi,unbounded,0.900000,32,1,8891.333333,0.000000,8891.333333,0.000000,13251.000000,0.000000,0.000000,0.000000,32.900662,0.000000,3.599215,0.000000
